,a,b,ca,cb,taxo,geom,mixed,prec,rec,f1,acc,model,hsize,gsize,cos,euc,neuc,taxcos,taxeuc,taxneuc
7884,dbo:RoadJunction,dbo:HorseRider,191,650,4.366666666666666,0.5100452638572669,2.4383559652619664,0.9873417721518988,1.0,0.9936305732484078,0.9918699186991871,TransH_50d_120e,295.243757431629,352.3492585489573,0.7439440893030034,4.578285834512738,1.2197902190975327,0.8090940106124478,0.7179375123611104,0.8782966243954742
7885,dbo:RoadJunction,dbo:RailwayTunnel,191,177,0.4,0.17067652201828049,0.2853382610091403,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.6956521739130435,TransH_50d_120e,183.7336956521739,183.86679961319814,0.45603724279691005,3.569180232910633,0.9550259083364283,0.25547088111282407,0.2423504985955388,0.3687633678282525
7886,dbo:RoadJunction,dbo:AdministrativeRegion,191,24882,2.3666666666666663,0.34594050494076034,1.3563035858037134,0.9078947368421052,0.9324324324324323,0.92,0.902439024390244,TransH_50d_120e,379.0900171499222,2180.014220137107,0.7390102358753423,3.908927798642487,1.2157386527336722,0.5955196126738056,0.4691440573496056,0.6656438455419529
7887,dbo:RoadJunction,dbo:Animal,191,227341,4.116666666666666,0.41719627954795385,2.2669314731073102,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.9837398373983741,TransH_50d_120e,381.6793330168943,6589.547101280935,0.8638184355767785,5.017021999403631,1.314396010018882,0.8387320605970532,0.7161256846268937,0.8842325551589835
7888,dbo:RoadJunction,dbo:Murderer,191,99,4.366666666666666,0.5482125405121554,2.4574396035894113,1.0,0.9166666666666666,0.9565217391304348,0.9726027397260274,TransH_50d_120e,130.40689655172412,137.50999963639,0.8674923154160339,5.336892624224324,1.3171881531626632,0.8668582108370179,0.7604668652665516,0.9115956001018433
7889,dbo:RoadJunction,dbo:Place,191,801178,1.2833333333333332,0.25585659914047965,0.7695949662369064,0.7945205479452054,0.7341772151898734,0.763157894736842,0.7073170731707317,TransH_50d_120e,381.90895330365913,12370.327319840811,0.7974113733695964,3.907091808813814,1.262862916843785,0.5083880794443493,0.35460450754892187,0.5673183450259645
7890,dbo:RoadJunction,dbo:Stream,191,28914,2.3666666666666663,0.2603954062612319,1.313531036463949,0.7333333333333333,0.8918918918918919,0.8048780487804879,0.7398373983739838,TransH_50d_120e,379.4931455076447,2350.0157446281073,0.7398256459623318,4.647671197761305,1.216409179480599,0.5959008525589247,0.5105598199736581,0.6658730891503588
7891,dbo:RoadJunction,dbo:Work,191,468077,3.283333333333333,0.4351763956720322,1.8592548645026827,0.9740259740259741,0.9493670886075948,0.9615384615384616,0.951219512195122,TransH_50d_120e,381.84418751655033,9455.3004711643,0.8541593430448643,3.990893960317663,1.307026658522973,0.7461878432951472,0.5705702668558515,0.7936849091273488
7892,dbo:RoadJunction,dbo:AmateurBoxer,191,448,4.566666666666666,0.5456822234052872,2.556174445035977,1.0,1.0,1.0,1.0,TransH_50d_120e,267.8184663536776,292.5200847805156,0.8769384128322704,4.861228442996688,1.324340147267514,0.8924014351543421,0.7549267279030112,0.9351675262658643
7893,dbo:RoadJunction,dbo:Crater,191,28,2.1166666666666663,0.22271737890021387,1.16969202278344,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.8545454545454545,TransH_50d_120e,48.84018264840183,73.1300211951289,0.7539417041626904,5.223413994936645,1.2279590417947093,0.576092276558859,0.5164289192939259,0.6434133729680822
7894,dbo:RoadJunction,dbo:SpeedwayLeague,191,18,4.366666666666666,0.5111729676800614,2.4389198171733644,1.0,0.4,0.5714285714285715,0.9433962264150944,TransH_50d_120e,32.89952153110048,58.634460857076164,0.6499685451670405,4.107365321285654,1.1401478370518803,0.7651563328450925,0.6915365560698272,0.8510680207254813
7895,dbo:RoadJunction,dbo:Rocket,191,275,3.783333333333333,0.4457800009670467,2.11455666715019,0.9866666666666668,0.9736842105263158,0.9801324503311258,0.9743589743589745,TransH_50d_120e,225.4291845493562,229.18333272731684,0.8522592296224019,5.263871987662694,1.3055720812137503,0.7981163585596796,0.6947534313930732,0.8460045111326062
7896,dbo:RoadJunction,dbo:BusinessPerson,191,829,4.116666666666666,0.5274282347539281,2.322047450710297,1.0,1.0,1.0,1.0,TransH_50d_120e,310.46862745098036,397.91833332984316,0.8111915232025013,3.862557745199416,1.2737280111566214,0.8141266769405733,0.6514035936178812,0.8703287417040133
7897,dbo:RoadJunction,dbo:University,191,20349,4.366666666666666,0.4877636289824297,2.4272151478245485,0.9857142857142858,1.0,0.9928057553956836,0.9918699186991871,TransH_50d_120e,378.4478091528724,1971.4611332714626,0.8572528541031594,4.865308459131857,1.3093913502869639,0.8620708147563368,0.734028703027771,0.9089299835049692
